session_id,split_index,context_len,query_len,session_len,query_skip_rate,ndcg_model,ndcg_random,lift
077dbae1-5028-4281-9377-6b4edaf14dc8_15067,5,17,10,27,0.1,0.6859,0.9,-0.2141
077dbae1-5028-4281-9377-6b4edaf14dc8_15077,1,5,30,35,0.0667,1,0.9333,0.0667
077dbae1-5028-4281-9377-6b4edaf14dc8_15077,2,10,25,35,0.08,0.6608,0.92,-0.2592
077dbae1-5028-4281-9377-6b4edaf14dc8_15077,3,16,19,35,0.0526,1,0.9474,0.0526
077dbae1-5028-4281-9377-6b4edaf14dc8_15077,4,21,14,35,0.0714,1,0.9286,0.0714
077dbae1-5028-4281-9377-6b4edaf14dc8_15077,5,27,8,35,0.125,0.9077,0.875,0.0327
077dbae1-5028-4281-9377-6b4edaf14dc8_15079,1,5,25,30,0.12,0.7245,0.88,-0.1555
077dbae1-5028-4281-9377-6b4edaf14dc8_15079,2,10,20,30,0.05,0.931,0.95,-0.019
077dbae1-5028-4281-9377-6b4edaf14dc8_15079,3,15,15,30,0.0667,0.9708,0.9333,0.0375
077dbae1-5028-4281-9377-6b4edaf14dc8_15079,4,20,10,30,0.1,1,0.9,0.1
077dbae1-5028-4281-9377-6b4edaf14dc8_15079,5,25,5,30,0.2,0.9843,0.9208,0.0635
077dbae1-5028-4281-9377-6b4edaf14dc8_15085,1,11,15,26,0.2667,0.9445,0.7333,0.2112
077dbae1-5028-4281-9377-6b4edaf14dc8_15085,2,13,13,26,0.1538,0.8921,0.8462,0.0459
077dbae1-5028-4281-9377-6b4edaf14dc8_15085,3,16,10,26,0.1,0.9738,0.9,0.0738
077dbae1-5028-4281-9377-6b4edaf14dc8_15085,4,18,8,26,0.125,0.9738,0.875,0.0988
077dbae1-5028-4281-9377-6b4edaf14dc8_15085,5,21,5,26,0.2,0.9863,0.9208,0.0655
077dbae1-5028-4281-9377-6b4edaf14dc8_15095,1,3,18,21,0.7222,0.1448,0.2778,-0.133
077dbae1-5028-4281-9377-6b4edaf14dc8_15095,2,6,15,21,0.8,0.1172,0.2767,-0.1596
077dbae1-5028-4281-9377-6b4edaf14dc8_15095,3,9,12,21,0.8333,0,0.3013,-0.3013
077dbae1-5028-4281-9377-6b4edaf14dc8_15095,4,12,9,21,0.8889,0.2861,0.3276,-0.0415
077dbae1-5028-4281-9377-6b4edaf14dc8_15095,5,16,5,21,0.8,0.3956,0.5897,-0.1941
077dbae1-5028-4281-9377-6b4edaf14dc8_15102,1,4,9,13,0.2222,0.8127,0.7778,0.0349
077dbae1-5028-4281-9377-6b4edaf14dc8_15102,2,5,8,13,0.25,0.7602,0.75,0.0102
077dbae1-5028-4281-9377-6b4edaf14dc8_15102,3,6,7,13,0.2857,0.72,0.7143,0.0057
077dbae1-5028-4281-9377-6b4edaf14dc8_15102,4,7,6,13,0.3333,0.6017,0.7673,-0.1656
077dbae1-5028-4281-9377-6b4edaf14dc8_15102,5,8,5,13,0.2,0.9252,0.9208,0.0043
077dbae1-5028-4281-9377-6b4edaf14dc8_15103,1,3,15,18,0.3333,0.5977,0.6667,-0.069
077dbae1-5028-4281-9377-6b4edaf14dc8_15103,2,5,13,18,0.3846,0.8327,0.6154,0.2173
077dbae1-5028-4281-9377-6b4edaf14dc8_15103,3,8,10,18,0.5,0.8552,0.5,0.3552
077dbae1-5028-4281-9377-6b4edaf14dc8_15103,4,10,8,18,0.625,0.8134,0.5189,0.2945
077dbae1-5028-4281-9377-6b4edaf14dc8_15103,5,13,5,18,0.8,0.8524,0.5897,0.2627
077dbae1-5028-4281-9377-6b4edaf14dc8_15104,1,5,28,33,0.1786,0.9106,0.8214,0.0892
